Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
53715,WI,2.05,9273.25,03/25/2010,42.92,-89.38,3;95,Dane,55025
53527,WI,2.05,18510.0,2/11/2010,43.07,-89.38,4;04,Dane,55025
53705,WI,2.07,19500,07/27/2009,43.08,-89.20,4;01,Dane,55025
53820,WI,2.08,18095.35,11/5/2007,43.07,-89.38,4;00,Grant,55043
54471,WI,2.088,18270,06/29/2004,42.68,-90.71,3;89,Marathon,55073
53704,WI,2.1,14994.0,08/29/2012,44.90,-89.41,3;84,Dane,55025
53718,WI,2.1,17556.57,9/7/2010,43.07,-89.38,4;04,Dane,55025
53212,WI,2.1,17900,08/31/2009,43.07,-89.38,4;07,Milwaukee,55079
53713,WI,2.1,17269,04/28/2008,43.06,-87.96,3;83,Dane,55025
53146,WI,2.1,20693.93,07/26/2007,43.07,-89.38,4;04,Waukesha,55133
53704,WI,2.1,18750,07/21/2008,42.97,-88.12,3;81,Dane,55025
53713,WI,2.1,21895,08/27/2007,43.07,-89.38,4;04,Dane,55025
53073,WI,2.1,16776.62,03/27/2007,43.07,-89.38,4;04,Sheboygan,55117
54806,WI,2.1,20260,05/29/2009,43.74,-87.97,3;81,Ashland,55003
54768,WI,2.1,26000,12/29/2009,46.57,-90.87,3;88,Chippewa,55017
54481,WI,2.1,12100.0,10/15/2010,44.96,-90.94,3;93,Portage,55097
53717,WI,2.1,16810.0,09/27/2010,44.54,-89.56,3;80,Dane,55025
53716,WI,2.1,13800.0,6/10/2010,43.07,-89.38,4;01,Dane,55025
53212,WI,2.1,17955.0,03/15/2010,43.07,-89.38,4;06,Milwaukee,55079
54481,WI,2.1,16500.0,2/12/2010,43.06,-87.96,3;83,Portage,55097
54412,WI,2.112,15247.26,12/14/2010,44.54,-89.56,3;80,Wood,55141
54901,WI,2.116,22866.0,11/22/2010,44.62,-90.01,3;83,Winnebago,55139
53545,WI,2.15,22215.0,11/30/2010,44.01,-88.55,3;78,Rock,55105
54921,WI,2.16,20497,11/11/2002,42.68,-89.01,3;79,Portage,55097
53518,WI,2.16,18754.48,02/28/2008,44.31,-89.51,3;79,Grant,55043
54913,WI,2.16,20535,08/14/2002,43.18,-90.57,3;91,Outagamie,55087
53172,WI,2.16,23700,06/26/2007,44.26,-88.39,3;84,Milwaukee,55079
53714,WI,2.16,18541.63,03/23/2007,42.91,-87.86,3;71,Dane,55025
54548,WI,2.16,18188.99,06/26/2008,43.07,-89.38,4;07,Oneida,55085
54875,WI,2.16,29646,9/3/2002,45.86,-89.69,3;92,Washburn,55129
54540,WI,2.16,29437.57,12/27/2007,45.94,-91.68,4;02,Vilas,55125
54891,WI,2.16,19923.68,10/26/2007,46.16,-89.23,3;92,Bayfield,55007
54909,WI,2.16,17435,11/15/2002,46.67,-90.89,3;93,Portage,55097
54956,WI,2.16,22481.62,04/15/2003,44.26,-89.40,3;82,Winnebago,55139
53215,WI,2.16,21045,09/30/2009,44.16,-88.47,3;84,Milwaukee,55079
54449,WI,2.176,16000.0,08/27/2010,43.06,-87.96,3;85,Wood,55141
54449,WI,2.176,17838.0,01/29/2010,44.66,-90.17,3;90,Wood,55141
54449,WI,2.176,15716.0,01/29/2010,44.66,-90.17,3;90,Wood,55141
54022,WI,2.2,,06/26/2008,44.66,-90.17,3;90,Pierce,55093
54481,WI,2.2,13900.0,10/29/2012,44.85,-92.62,3;97,Portage,55097
53227,WI,2.2,29800,09/27/2006,44.54,-89.56,3;80,Milwaukee,55079
53703,WI,2.2,13249,1/10/2003,43.06,-87.96,3;83,Dane,55025
53546,WI,2.2,14000.0,08/26/2010,43.07,-89.38,4;04,Rock,55105
53570,WI,2.22,0.0,1/8/2004,42.68,-89.01,3;76,Green,55045
54930,WI,2.22,13858.52,07/28/2010,42.74,-89.58,3;82,Waushara,55137
53208,WI,2.24,24530,10/28/2008,44.03,-89.51,3;86,Milwaukee,55079
54481,WI,2.25,21762.45,4/4/2004,43.06,-87.96,3;89,Portage,55097
54228,WI,2.276,19293.01,11/27/2007,44.54,-89.56,3;80,Manitowoc,55071
53051,WI,2.28,21410,07/30/2009,44.23,-87.64,3;89,Waukesha,55133
53704,WI,2.296,14997.0,01/17/2012,43.14,-88.12,3;80,Dane,55025
54245,WI,2.296,14370.0,01/17/2012,43.07,-89.38,4;04,Manitowoc,55071
53121,WI,2.3,14472.0,10/29/2012,44.06,-87.88,3;82,Walworth,55127
53704,WI,2.3,22734,12/29/2009,42.67,-88.54,3;72,Dane,55025
53726,WI,2.3,14975.0,10/27/2010,43.07,-89.38,4;04,Dane,55025
53704,WI,2.3,13209.0,09/13/2010,43.07,-89.38,4;06,Dane,55025
54481,WI,2.34,19137.12,05/23/2008,43.07,-89.38,4;04,Portage,55097
53703,WI,2.376,23432,09/29/2009,44.54,-89.56,3;80,Dane,55025
54208,WI,2.376,12013.67,11/10/2010,43.07,-89.38,4;04,Brown,55009
54915,WI,2.38,22062,07/24/2008,44.34,-87.82,3;87,Outagamie,55087
54751,WI,2.4,10000.0,01/17/2012,44.26,-88.39,3;80,Dunn,55033
53704,WI,2.4,14634.0,01/17/2012,44.88,-91.91,3;94,Dane,55025
54212,WI,2.4,22381.91,4/7/2010,43.07,-89.38,4;04,Door,55029
53014,WI,2.4,22719.98,4/7/2010,45.13,-87.23,3;82,Calumet,55015
54428,WI,2.4,23156.65,4/7/2010,44.02,-88.16,3;77,Langlade,55067
54307,WI,2.4,24761.8,02/28/2008,45.43,-89.18,3;95,0,0
54307,WI,2.4,24285.56,02/28/2008,44.52,-87.98,0,0,0
54307,WI,2.4,22212.26,02/28/2008,0,0,0,0,0
54307,WI,2.4,28791.66,01/26/2009,44.52,-87.98,0,0,0
54307,WI,2.4,24993.04,02/28/2008,0,0,0,0,0
54307,WI,2.4,28627.32,01/27/2009,44.52,-87.98,0,0,0
54307,WI,2.4,32707.44,01/27/2009,0,0,0,0,0
54481,WI,2.4,17700.01,10/24/2006,44.52,-87.98,0,Portage,55097
53716,WI,2.414,22500,08/24/2007,0,0,3;80,Dane,55025
53572,WI,2.45,20596,06/28/2006,44.52,-87.98,4;06,Dane,55025
53548,WI,2.45,20432.19,10/29/2009,0,0,3;84,0,0
54914,WI,2.46,26150.32,07/21/2008,44.52,-87.98,3;79,Outagamie,55087
53705,WI,2.46,25100,07/30/2009,0,0,0,Dane,55025
54202,WI,2.46,24141.57,08/26/2009,44.52,-87.98,3;83,Door,55029
54655,WI,2.464,17711.05,12/29/2009,0,0,4;00,Crawford,55023
54644,WI,2.464,19588,12/29/2009,44.54,-89.56,3;86,La Crosse,55063
53704,WI,2.47,17683.31,05/23/2007,43.07,-89.38,3;92,Dane,55025
53217,WI,2.47,19770,10/16/2006,43.00,-89.73,3;95,Milwaukee,55079
53076,WI,2.48,20331.4,10/8/1998,42.68,-89.07,4;04,Washington,55131
53076,WI,2.48,20331.4,01/28/2009,0,0,3;86,Washington,55131
53703,WI,2.5,15270.0,09/19/2012,44.26,-88.39,3;75,Dane,55025
53704,WI,2.5,16720.3,3/4/2004,43.07,-89.38,3;75,Dane,55025
54406,WI,2.5,18585,11/15/2002,45.06,-87.12,4;04,Portage,55097
54247,WI,2.52,22749.87,04/27/2009,43.39,-90.77,4;04,Manitowoc,55071
54307,WI,2.52,18493.35,04/26/2006,44.01,-91.09,3;81,0,0
53558,WI,2.52,21350,08/20/2008,43.07,-89.38,3;87,Dane,55025
54307,WI,2.52,16859.44,04/26/2006,43.06,-87.96,0,0,0
53716,WI,2.52,23618.65,12/26/2008,43.27,-88.21,4;05,Dane,55025
53705,WI,2.52,22830,1/10/2008,43.27,-88.21,0,Dane,55025
54013,WI,2.52,18450.0,12/14/2010,43.07,-89.38,4;06,Saint Croix,0
54947,WI,2.52,18871.0,05/27/2010,43.07,-89.38,4;00,0,55139
54940,WI,2.524,21888.38,11/4/2003,44.44,-89.28,3;94,Winnebago,55135
54406,WI,2.528,0.0,09/23/2003,44.14,-87.82,0,Waupaca,55097
54406,WI,2.528,25129.85,07/20/2005,44.52,-87.98,3;80,Portage,55097
53704,WI,2.528,15680.11,05/23/2005,0,0,3;79,Portage,55025
54406,WI,2.528,19670.95,07/22/2004,43.01,-89.29,3;81,Dane,55097
53154,WI,2.528,19689.86,10/14/2005,44.52,-87.98,3;81,Portage,55079
54406,WI,2.528,21705.99,05/19/2004,0,0,4;04,Milwaukee,55097
53916,WI,2.55,18787,05/22/2006,43.07,-89.38,3;81,Portage,55027
53703,WI,2.564,21768,09/29/2008,43.07,-89.38,3;76,Dodge,55025
54022,WI,2.6,,6/1/2007,45.05,-92.17,3;81,Dane,55093
53137,WI,2.6,13800.0,10/19/2012,0,0,3;68,Pierce,55055
54426,WI,2.6,31404.19,02/28/2008,44.18,-88.61,4;04,Jefferson,55073
53583,WI,2.6,22029.77,04/28/2009,44.25,-88.87,3;97,Marathon,55111
53551,WI,2.6,29931.41,03/23/2007,44.44,-89.28,3;75,Sauk,55055
54452,WI,2.6,26214.91,08/24/2006,44.44,-89.28,3;80,Jefferson,56023
53095,WI,2.6,29963.06,10/27/2006,43.07,-89.38,3;83,Lincoln,55131
53705,WI,2.6,19690,11/17/2006,44.44,-89.28,3;76,Washington,55025
53575,WI,2.64,24888.92,08/16/2004,42.88,-87.89,3;91,Dane,55025
53126,WI,2.64,0.0,07/23/2003,44.44,-89.28,3;77,Dane,55101
53703,WI,2.64,21456.44,07/26/2007,43.46,-88.83,4;00,Racine,55025
