Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
98816,WA,1.3,13000,3/3/2005,47.89,-119.99,4;71,Chelan,53007
98801,WA,1.3,13000,04/28/2005,47.37,-120.35,4;85,Chelan,53007
98815,WA,1.3,13000,04/21/2005,47.55,-120.48,4;80,Chelan,53007
98801,WA,1.3,13000,3/4/2005,47.37,-120.35,4;85,Chelan,53007
98826,WA,1.3,13000,04/19/2005,47.81,-120.86,3;98,Chelan,53007
98826,WA,1.3,13000,07/20/2005,47.81,-120.86,3;98,Chelan,53007
98801,WA,1.3,13000,12/30/2003,47.37,-120.35,4;85,Chelan,53007
98801,WA,1.3,13000,04/21/2004,47.37,-120.35,4;85,Chelan,53007
98801,WA,1.3,13000,4/5/2005,47.37,-120.35,4;85,Chelan,53007
98801,WA,1.3,13000,7/6/2004,47.37,-120.35,4;85,Chelan,53007
98801,WA,1.3,13000,5/12/2005,47.37,-120.35,4;85,Chelan,53007
98852,WA,1.3,13000,05/30/2007,48.34,-120.70,3;52,Chelan,53007
98822,WA,1.3,13000,3/11/2005,47.79,-120.44,4;67,Chelan,53007
98801,WA,1.3,13000,3/10/2005,47.37,-120.35,4;85,Chelan,53007
98831,WA,1.3,13000,3/7/2005,47.97,-120.15,4;74,Chelan,53007
98815,WA,1.3,13000,03/14/2005,47.55,-120.48,4;80,Chelan,53007
98801,WA,1.3,13000,7/2/2004,47.37,-120.35,4;85,Chelan,53007
98801,WA,1.3,13000,7/8/2004,47.37,-120.35,4;85,Chelan,53007
98801,WA,1.3,13000,4/5/2004,47.37,-120.35,4;85,Chelan,53007
98826,WA,1.3,13000,12/14/2004,47.81,-120.86,3;98,Chelan,53007
98826,WA,1.3,13000,12/21/2004,47.81,-120.86,3;98,Chelan,53007
98620,WA,1.32,10560.0,10/6/2006,45.84,-120.76,5;15,Klickitat,53039
99352,WA,1.4,15000.0,10/15/2008,46.32,-119.32,5;34,Benton,53005
98362,WA,1.44,10947.64,05/25/2007,47.99,-123.25,3;47,Clallam,53009
99166,WA,1.5,26000.0,07/30/2012,48.59,-118.70,4;50,Ferry,53019
98672,WA,1.56,25000.0,5/12/2012,45.82,-121.46,4;62,Klickitat,53039
98635,WA,1.6,25800.0,8/6/2006,45.72,-121.16,4;91,Klickitat,53039
98672,WA,1.664,13312.0,12/7/2007,45.82,-121.46,4;62,Klickitat,53039
98635,WA,1.68,13000.0,05/16/2012,45.72,-121.16,4;91,Klickitat,53039
99362,WA,1.7,8700.0,05/24/2011,46.11,-118.30,4;92,Walla Walla,53071
99301,WA,1.7,12000.0,09/30/2009,46.41,-118.90,5;30,Franklin,53021
98635,WA,1.7,11900.0,8/6/2006,45.72,-121.16,4;91,Klickitat,53039
98620,WA,1.7,15300.0,1/6/2006,45.84,-120.76,5;15,Klickitat,53039
99362,WA,1.76,16900.0,9/8/2008,46.11,-118.30,4;92,Walla Walla,53071
98672,WA,1.79,10740.0,10/15/2009,45.82,-121.46,4;62,Klickitat,53039
98635,WA,1.8,7000.0,8/1/2011,45.72,-121.16,4;91,Klickitat,53039
98620,WA,2.0,32222.0,3/9/2009,45.84,-120.76,5;15,Klickitat,53039
98368,WA,2.04,18000.0,3/6/2006,48.03,-122.81,3;21,Jefferson,55055
98650,WA,2.1,18900.0,12/5/2005,45.97,-121.53,4;63,Klickitat,53039
98119,WA,2.16,11995.2,8/5/2011,47.63,-122.37,3;50,King,53033
99352,WA,2.16,17280.0,2/7/2007,46.32,-119.32,5;34,Benton,53005
98672,WA,2.244,21655.0,1/8/2007,45.82,-121.46,4;62,Klickitat,53039
98620,WA,2.3,20000.0,8/1/2009,45.84,-120.76,5;15,Klickitat,53039
98635,WA,2.3,20000.0,6/9/2009,45.72,-121.16,4;91,Klickitat,53039
98620,WA,2.376,27043.0,1/9/2009,45.84,-120.76,5;15,Klickitat,53039
99352,WA,2.4,18000.0,7/10/2012,46.32,-119.32,5;34,Benton,53005
98672,WA,2.4,19000.0,05/30/2012,45.82,-121.46,4;62,Klickitat,53039
98826,WA,2.4,24000,8/1/2008,47.81,-120.86,3;98,Chelan,53007
