Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=IL
60151,IL,5.7,50300.0,6-8-2009,
61378,IL,5.7,26550.0,09/14/2011,
60002,IL,5.74,16719.69,8-8-2012,
60002,IL,5.74,16683.0,07/13/2012,
61455,IL,5.76,25238.0,09/29/2011,
60661,IL,5.76,76649.0,09/30/2002,
62450,IL,5.8,16796.0,05/14/2012,
61088,IL,5.8,25750.0,10/29/2012,
60108,IL,5.9,34000.0,8-5-2010,
60436,IL,5.94,47550.0,2-12-2012,
61450,IL,6.0,51749.0,5-1-2012,
60560,IL,6.0,34000.0,11/14/2012,
62907,IL,6.0,34511.0,12-4-2012,
61540,IL,6.0,51749.0,5-1-2012,
60047,IL,6.0,50000.0,8-10-2009,
62246,IL,6.0,36808.0,7-9-2008,
61615,IL,6.0,57999.0,6-12-2009,
61526,IL,6.0,47998.0,08/20/2010,
60515,IL,6.0,32746.0,06/23/2010,
62293,IL,6.02,30444.95,04/15/2010,
61032,IL,6.11,32000.0,7-1-2011,
60010,IL,6.11,36660.0,8-9-2010,
60056,IL,6.12,33000.0,11/30/2012,
60033,IL,6.2,34584.13,5-1-2011,
61614,IL,6.2,26495.96,7-10-2011,
60016,IL,6.24,31997.75,12-6-2012,
60022,IL,6.24,41365.0,02/17/2012,
61436,IL,6.3,43500.0,8-4-2010,
60618,IL,6.3,36500.0,4-2-2010,
60010,IL,6.3,41130.0,12/29/2009,
60631,IL,6.325,50760.0,8-9-2010,
60714,IL,6.325,50760.0,8-9-2010,
60201,IL,6.4,105619.0,06/30/2003,
60098,IL,6.44,36549.0,6-3-2011,
60189,IL,6.45,12926.56,12-7-2012,
62221,IL,6.54,39290.0,8-5-2010,
61115,IL,6.6,45000.0,07/29/2011,
60091,IL,6.7,47970.0,04/14/2008,
60067,IL,6.72,46200.0,04/15/2011,
62626,IL,6.75,35000.0,06/30/2011,
60622,IL,6.8,44185.0,7-6-2009,
60010,IL,6.9,43000.0,2-5-2012,
62668,IL,6.9,36934.0,5-9-2012,
60540,IL,6.9,52500.0,05/13/2011,
62040,IL,6.93,34754.0,8-5-2010,
60550,IL,7.0,70610.0,9-12-2011,
62521,IL,7.0,55380.0,7-6-2009,
62650,IL,7,52523,04/29/2010,
62650,IL,7.095,52523.0,08/19/2010,
62305,IL,7.2,46230.0,01/13/2012,
60642,IL,7.2,34649.0,8-6-2009,
61021,IL,7.2,46010.8,08/17/2010,
61081,IL,7.35,26737.0,11/15/2012,
61548,IL,7.35,24683.0,10/27/2012,
62220,IL,7.35,45550.0,10-5-2012,
61109,IL,7.4,24262.0,09/21/2012,
62642,IL,7.48,49822.0,04/24/2008,
62234,IL,7.5,80040.46,12/21/2012,
62711,IL,7.5,36220.0,4-1-2012,
61615,IL,7.52,39499.79,08/18/2011,
60564,IL,7.56,41071.04,6-1-2011,
60051,IL,7.59,27580.0,4-1-2011,
60093,IL,7.75,42259.85,04/30/2012,
62827,IL,7.84,25000.0,2-2-2015,
60540,IL,7.97,42000.0,06/22/2012,
62808,IL,7.995,37881.43,08/17/2010,
61853,IL,8.0,22496.12,10/27/2012,
61853,IL,8.0,25300.0,08/16/2007,
61853,IL,8.0,35000.0,07/16/2008,
61802,IL,8.2,30081.2,03/24/2010,
62907,IL,8.28,41000.0,3-12-2012,
61373,IL,8.34,19530.0,12-7-2012,
61615,IL,8.4,45800.0,04/20/2010,
