Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=2&minsize=0&state=CA
92109,CA,0.9,8266.74,6-8-2006,
92109,CA,0.9,8266.74,6-8-2006,
92109,CA,0.9,7442.07,10/27/2006,
92109,CA,0.9,8266.74,6-8-2006,
92109,CA,0.9,8266.74,6-8-2006,
92109,CA,0.9,7442.07,10/27/2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,8266.74,6-8-2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,10/27/2006,
92109,CA,0.9,8266.74,6-8-2006,
92109,CA,0.9,7442.07,10/27/2006,
92109,CA,0.9,8266.74,6-8-2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,10/27/2006,
92109,CA,0.9,7442.07,10/27/2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,10/27/2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,10/27/2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,6-8-2006,
92109,CA,0.9,7442.07,6-8-2006,
92653,CA,0.9,7866.0,09/24/2003,
94508,CA,0.9,7636.0,10/14/2003,
92625,CA,0.9,7000.0,09/17/2003,
93230,CA,0.9,7003.48,2-9-2004,
92120,CA,0.9,7942.1,10-12-2006,
92120,CA,0.9,7942.1,10-12-2006,
92120,CA,0.9,8267.0,8-9-2006,
92120,CA,0.9,7442.07,03/20/2007,
92108,CA,0.9,8266.74,06/22/2005,
92108,CA,0.9,8266.74,6-8-2006,
92108,CA,0.9,7442.07,10/27/2006,
92120,CA,0.9,7442.07,8-2-2006,
92120,CA,0.9,7442.07,8-2-2006,
92120,CA,0.9,7442.07,8-2-2006,
92120,CA,0.9,7442.07,8-2-2006,
92120,CA,0.9,7442.07,8-2-2006,
92120,CA,0.9,7442.07,8-2-2006,
92120,CA,0.9,8267.0,8-2-2006,
92120,CA,0.9,8267.0,8-2-2006,
92120,CA,0.9,8267.0,8-2-2006,
92120,CA,0.9,8267.0,8-2-2006,
92120,CA,0.9,8267.0,8-2-2006,
92120,CA,0.9,8267.0,8-2-2006,
92120,CA,0.9,8267.0,8-2-2006,
92120,CA,0.9,8267.0,8-8-2006,
92120,CA,0.9,7442.07,8-8-2006,
92120,CA,0.9,8267.0,8-8-2006,
92120,CA,0.9,7442.07,8-8-2006,
