Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=6&minsize=5&state=CA
90249,CA,5.0,26896.0,2-11-2014,
90265,CA,5.0,24754.0,11/28/2012,
93446,CA,5.0,47133.0,07/19/2007,
90266,CA,5.0,24500.0,01/31/2014,
91789,CA,5.0,30000.0,09/28/2010,
93277,CA,5.0,32040.0,01/29/2014,
92028,CA,5.0,21400.0,03/29/2013,
90630,CA,5.0,16996.84,9-11-2013,
90630,CA,5.0,24500.0,11/20/2013,
92064,CA,5.0,26536.0,4-9-2010,
91789,CA,5.0,29000.0,04/23/2010,
91607,CA,5.0,31200.0,09/21/2010,
90247,CA,5.0,39450.0,10/20/2009,
91042,CA,5.0,37853.13,06/21/2005,
91352,CA,5.0,23029.0,11-7-2011,
90026,CA,5.0,24680.0,10/17/2011,
91326,CA,5.0,24870.0,04/21/2011,
90272,CA,5.0,25094.56,1-6-2012,
91343,CA,5.0,25906.5,11/14/2011,
91436,CA,5.0,26337.0,5-11-2011,
90026,CA,5.0,26407.0,04/15/2011,
90064,CA,5.0,29470.5,07/14/2011,
90034,CA,5.0,30169.8,5-9-2011,
91606,CA,5.0,30471.0,03/16/2011,
91364,CA,5.0,30969.0,10-10-2011,
91344,CA,5.0,30969.0,5-9-2011,
90293,CA,5.0,30969.0,3-7-2011,
91316,CA,5.0,30969.0,3-4-2011,
90065,CA,5.0,30970.0,8-10-2011,
91042,CA,5.0,31068.9,03/29/2011,
91335,CA,5.0,31168.8,07/14/2011,
91304,CA,5.0,31718.25,5-3-2011,
90064,CA,5.0,34660.0,12/22/2011,
90066,CA,5.0,34750.0,4-12-2011,
90018,CA,5.0,37064.0,01/26/2012,
91605,CA,5.0,37485.0,04/19/2011,
91325,CA,5.0,40219.2,07/22/2011,
91040,CA,5.0,40500.0,04/21/2011,
91342,CA,5.0,57950.0,10/27/2011,
91740,CA,5.0,,09/28/2012,
90745,CA,5.0,,09/28/2012,
91384,CA,5.0,,10/18/2012,
91302,CA,5.0,,11-12-2012,
90745,CA,5.0,,11-12-2012,
91320,CA,5.0,,12/17/2012,
94517,CA,5.0,47341.0,10/31/2000,
95118,CA,5.0,36950.6,8-2-2002,
90056,CA,5.0,28510.92,11/15/2001,
94608,CA,5.0,39783.0,7-3-2002,
90405,CA,5.0,45328.04,11/14/2003,
95377,CA,5.0,38000.0,12/22/2003,
95946,CA,5.0,28019.38,10-4-2004,
91355,CA,5.0,36965.86,02/20/2004,
94941,CA,5.0,33018.0,03/19/2004,
94087,CA,5.0,39500.0,04/23/2004,
93442,CA,5.0,39463.0,4-2-2007,
95220,CA,5.0,42750.0,07/28/2004,
93004,CA,5.0,41281.32,06/29/2004,
93550,CA,5.0,40194.12,09/13/2004,
91320,CA,5.0,37519.92,04/20/2005,
93111,CA,5.0,38487.94,04/29/2005,
93063,CA,5.0,46762.39,10/25/2005,
92117,CA,5.0,26343.0,07/13/2011,
92118,CA,5.0,21005.0,12/27/2013,
92123,CA,5.0,33850.0,10-12-2010,
92123,CA,5.0,34652.0,9-7-2011,
92123,CA,5.0,26193.0,10/14/2011,
93066,CA,5.0,20776.0,3-11-2013,
93108,CA,5.0,50500.0,04/23/2010,
93109,CA,5.0,21250.0,4-1-2013,
93111,CA,5.0,22500.0,2-12-2014,
93111,CA,5.0,23750.0,12/19/2013,
95014,CA,5.0,15483.68,05/26/2013,
95020,CA,5.0,0.0,07/22/2013,
95023,CA,5.0,28067.0,06/20/2013,
95035,CA,5.0,17250.0,05/26/2013,
95037,CA,5.0,45600.0,11/13/2007,
90046,CA,5.0,46615.0,06/28/2008,
95076,CA,5.0,15266.33,4-6-2013,
91335,CA,5.0,55000.0,1-12-2011,
90066,CA,5.0,34750.0,4-5-2011,
95112,CA,5.0,22238.2,07/16/2011,
95124,CA,5.0,38766.0,02/29/2008,
91352,CA,5.0,23029.0,11-1-2011,
95125,CA,5.0,22570.0,04/19/2013,
95127,CA,5.0,23866.75,09/23/2013,
95133,CA,5.0,27282.6,7-8-2013,
95136,CA,5.0,26136.56,4-1-2013,
95138,CA,5.0,23962.6,7-9-2013,
95219,CA,5.0,20550.0,9-12-2013,
95301,CA,5.0,20580.0,2-5-2013,
95320,CA,5.0,24000.0,07/16/2013,
95361,CA,5.0,24255.0,4-3-2013,
95366,CA,5.0,25560.0,12/26/2012,
95376,CA,5.0,47040.0,03/27/2008,
95401,CA,5.0,17189.28,6-12-2013,
95404,CA,5.0,33173.0,5-9-2011,
95425,CA,5.0,36646.47,5-1-2013,
95442,CA,5.0,21104.0,08/23/2012,
95442,CA,5.0,76500.0,07/31/2008,
95472,CA,5.0,32090.0,07/13/2011,
95472,CA,5.0,52128.0,2-9-2012,
95492,CA,5.0,33549.0,07/13/2011,
95521,CA,5.0,19379.4,09/13/2013,
95602,CA,5.0,24500.0,05/26/2013,
95602,CA,5.0,21005.0,07/24/2013,
95602,CA,5.0,0.0,07/26/2013,
95603,CA,5.0,24401.91,8-6-2012,
91307,CA,5.0,36500.0,7-7-2011,
91311,CA,5.0,24708.0,06/29/2012,
91342,CA,5.0,25350.0,2-1-2013,
90731,CA,5.0,24000.0,12/17/2012,
91304,CA,5.0,30000.0,8-9-2012,
95616,CA,5.0,36043.23,02/25/2008,
91311,CA,5.0,26500.0,12/17/2012,
90068,CA,5.0,27000.0,03/20/2013,
91343,CA,5.0,22638.0,01/15/2013,
91344,CA,5.0,38250.0,4-4-2013,
95658,CA,5.0,21000.0,01/24/2013,
95667,CA,5.0,19500.0,11/26/2013,
95667,CA,5.0,47200.0,6-2-2008,
95677,CA,5.0,29080.0,02/22/2013,
95682,CA,5.0,14945.88,10/13/2013,
91040,CA,5.0,32400.0,7-2-2013,
91343,CA,5.0,26100.0,9-9-2013,
95589,CA,5,28000,06/27/2007,
95820,CA,5.0,,08/23/2001,
91605,CA,5.0,23800.0,5-1-2013,
91342,CA,5.0,22500.0,5-7-2013,
91331,CA,5.0,23950.0,09/26/2013,
