Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=TN
37067,TN,2.112.000.084,,12-11-2009,
37228,TN,21.5,,6-3-2010,
37033,TN,21.6,,05/17/2011,
37033,TN,21.6,,02/14/2011,
37055,TN,22.01,,05/17/2011,
37055,TN,22.01,,06/18/2010,
37912,TN,2.204.999.924,,03/19/2010,
37055,TN,2.312.000.084,,06/21/2010,
37221,TN,23.52,,05/17/2011,
37221,TN,23.52,,2-2-2011,
37849,TN,2.439.999.962,,09/18/2009,
37923,TN,24.5,171500,8-8-2009,
37027,TN,24.8,,09/23/2009,
38501,TN,24.84,,05/17/2011,
38583,TN,2.484.000.015,,09/23/2009,
38562,TN,25.6,,05/17/2011,
38501,TN,25.6,,09/15/2009,
37201,TN,25.6,179200,1-1-2008,
37402,TN,2.562.000.084,,07/30/2010,
37402,TN,2.573.999.977,,04/16/2010,
37830,TN,25.76,,05/17/2011,
37160,TN,25.92,,02/28/2012,
37210,TN,26.4,,7-11-2012,
37062,TN,26.46,,05/17/2011,
37062,TN,26.46,,12-7-2010,
37075,TN,2.745.000.076,,05/21/2010,
37075,TN,2.745.000.076,,05/21/2010,
37771,TN,28.08,187500,12-11-2009,
37870,TN,28.2,180068.0,09/29/2011,
38358,TN,28.8,,11/23/2010,
37210,TN,28.89,,08/25/2010,
37209,TN,29.28,,05/17/2011,
37209,TN,29.28,,09/17/2010,
37211,TN,29.28,,1-7-2011,
37190,TN,29.4,,05/17/2011,
37027,TN,29.4,,05/17/2011,
37211,TN,29.4,,05/17/2011,
37190,TN,29.4,,12/16/2010,
37067,TN,29.4,,07/19/2011,
38476,TN,29.4,,9-2-2011,
37367,TN,29.44,,05/17/2011,
37367,TN,29.44,,12/16/2009,
37367,TN,2.944.000.053,,12/17/2009,
37209,TN,2.944.000.053,,09/17/2010,
37814,TN,29.61,187500.0,09/27/2011,
37075,TN,29.89,,05/17/2011,
37215,TN,29.89,,06/20/2011,
37211,TN,30.0,,05/17/2011,
37167,TN,30.0,,05/17/2011,
37067,TN,30.0,,05/17/2011,
37771,TN,30.0,,01/13/2010,
37201,TN,30,240000,1-1-2000,
38193,TN,30.5,,04/16/2010,
