Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=DC
20009,DC,3.0,28127.5,10-12-2010,
20012,DC,3.0,23500.0,10-1-2012,
20011,DC,3.0,12893.0,10-11-2012,
20001,DC,3.0,21520.0,12/26/2012,
20020,DC,3.0,27900.0,09/30/2009,
20003,DC,3.0,,09/30/2009,
20009,DC,3.0,28630.0,09/30/2009,
20020,DC,3.0,,02/24/2010,
20002,DC,3.0,27666.08,6-3-2010,
20003,DC,3.0,21905.0,06/21/2010,
20015,DC,3.0,19383.0,05/24/2010,
20009,DC,3.0,,9-1-2010,
20009,DC,3.0,,9-7-2010,
20009,DC,3.0,,08/31/2010,
20009,DC,3.0,,10-12-2010,
20009,DC,3.01,23327.0,10-8-2011,
20016,DC,3.01,73416.0,08/15/2011,
20010,DC,3.04,24880.0,09/30/2009,
20010,DC,3.04,23210.0,09/30/2009,
20010,DC,3.04,24700.0,09/30/2009,
20010,DC,3.04,24380.0,09/30/2009,
20010,DC,3.04,22670.0,09/30/2009,
20010,DC,3.04,24260.0,11/24/2009,
20010,DC,3.04,24880.0,09/30/2009,
20010,DC,3.04,23210.0,09/30/2009,
20010,DC,3.04,,09/30/2009,
20010,DC,3.04,24380.0,09/30/2009,
20010,DC,3.04,22670.0,09/30/2009,
20010,DC,3.04,24260.0,11/24/2009,
20003,DC,3.05,13642.0,7-3-2012,
20003,DC,3.05,13642.0,7-3-2012,
20018,DC,3.055,15198.63,09/19/2012,
20002,DC,3.055,15198.63,10-11-2012,
20011,DC,3.055,23425.0,10-8-2011,
20018,DC,3.055,15198.63,09/19/2012,
20002,DC,3.055,15198.63,10-11-2012,
20015,DC,3.055,25110.0,8-6-2011,
20002,DC,3.055,,07/23/2012,
20002,DC,3.06,23840.0,7-3-2012,
20016,DC,3.06,25200.0,01/21/2011,
20002,DC,3.06,23840.0,7-3-2012,
20001,DC,3.06,28451.0,8-6-2011,
20018,DC,3.068,0.0,3-1-2011,
20003,DC,3.08,15750.0,7-3-2012,
20002,DC,3.08,18606.5,09/19/2012,
20018,DC,3.08,21286.0,12/23/2010,
20003,DC,3.08,15750.0,7-3-2012,
20002,DC,3.08,18606.5,09/19/2012,
20018,DC,3.08,21286.0,12/23/2010,
20016,DC,3.08,32378.0,8-6-2011,
20009,DC,3.12,15522.0,12/26/2012,
20009,DC,3.12,15522.0,12/26/2012,
20002,DC,3.128,27213.0,08/17/2010,
20001,DC,3.128,23460.0,10-8-2011,
20002,DC,3.128,27213.0,08/17/2010,
20002,DC,3.128,21094.0,07/21/2011,
20011,DC,3.136,21199.0,06/28/2011,
20016,DC,3.136,23613.0,07/21/2011,
20011,DC,3.136,,03/21/2011,
20003,DC,3.15,26325.0,09/30/2009,
20010,DC,3.15,30135.0,09/30/2009,
20018,DC,3.15,28350.0,09/30/2009,
20009,DC,3.15,29950.0,09/30/2009,
20016,DC,3.15,28850.0,11/18/2009,
20010,DC,3.15,28665.0,11/24/2009,
20016,DC,3.15,25579.0,06/21/2010,
20016,DC,3.15,27000.0,9-10-2010,
20017,DC,3.15,,10-12-2010,
20009,DC,3.15,29950.0,09/30/2009,
20003,DC,3.15,26325.0,09/30/2009,
20010,DC,3.15,,09/30/2009,
20018,DC,3.15,28350.0,09/30/2009,
20010,DC,3.15,,11/24/2009,
20016,DC,3.15,28850.0,11/18/2009,
20016,DC,3.15,25579.0,06/21/2010,
20016,DC,3.15,,9-10-2010,
20017,DC,3.15,,10-12-2010,
20019,DC,3.15,,03/21/2011,
20020,DC,3.185,14014.0,10-11-2012,
20020,DC,3.185,14014.0,10-11-2012,
20007,DC,3.2,17191.0,02/14/2012,
20010,DC,3.2,19350.0,8-9-2010,
20010,DC,3.2,19776.0,8-10-2010,
20003,DC,3.2,19998.0,10-11-2010,
20007,DC,3.2,17191.0,02/14/2012,
20010,DC,3.2,,8-9-2010,
20010,DC,3.2,,8-10-2010,
20003,DC,3.2,,10-11-2010,
20007,DC,3.2,35170.0,02/13/2012,
20011,DC,3.22,23040.0,3-12-2012,
20007,DC,3.22,17000.0,4-7-2012,
20002,DC,3.22,16806.0,4-10-2012,
20002,DC,3.22,18135.0,06/17/2012,
20003,DC,3.22,14522.0,08/20/2012,
20011,DC,3.22,12975.0,09/18/2012,
20015,DC,3.22,14300.0,09/19/2012,
20002,DC,3.22,32200.0,12/22/2009,
20011,DC,3.22,26375.0,6-3-2010,
20007,DC,3.22,25599.0,01/26/2011,
20002,DC,3.22,,06/15/2011,
20002,DC,3.22,20098.0,10-8-2011,
20011,DC,3.22,23040.0,3-12-2012,
20007,DC,3.22,17000.0,4-7-2012,
20002,DC,3.22,16806.0,4-10-2012,
20002,DC,3.22,18135.0,06/17/2012,
20003,DC,3.22,14522.0,08/20/2012,
20011,DC,3.22,12975.0,09/18/2012,
20015,DC,3.22,14300.0,09/19/2012,
20002,DC,3.22,32200.0,12/22/2009,
20011,DC,3.22,26375.0,6-3-2010,
20003,DC,3.22,2255.0,11/29/2010,
20002,DC,3.22,33000.0,07/19/2011,
20003,DC,3.22,26291.0,07/19/2011,
20010,DC,3.22,26646.0,07/19/2011,
20016,DC,3.22,38787.0,07/19/2011,
20007,DC,3.22,,03/21/2011,
20011,DC,3.22,,03/21/2011,
20002,DC,3.225,28288.05,7-6-2010,
20002,DC,3.225,28288.05,7-6-2010,
20007,DC,3.28,22990.0,08/25/2009,
20010,DC,3.28,23600.0,09/30/2009,
20010,DC,3.28,23600.0,09/30/2009,
20007,DC,3.28,22990.0,08/25/2009,
20003,DC,3.29,14805.0,02/21/2012,
20003,DC,3.29,21942.0,4-11-2012,
20012,DC,3.29,28464.0,07/24/2012,
20003,DC,3.29,14805.0,02/21/2012,
20003,DC,3.29,21942.0,4-11-2012,
20012,DC,3.29,28464.0,07/24/2012,
20012,DC,3.29,22461.25,02/13/2012,
20010,DC,3.33,22610.0,05/19/2012,
20020,DC,3.33,25945.0,7-2-2011,
20010,DC,3.33,22610.0,05/19/2012,
20008,DC,3.33,47720.0,07/19/2011,
20003,DC,3.36,16716.0,09/19/2012,
20011,DC,3.36,17500.0,10-11-2012,
20002,DC,3.36,13608.0,10-11-2012,
20017,DC,3.36,16716.0,10-11-2012,
20009,DC,3.36,26660.0,05/24/2010,
20003,DC,3.36,22387.0,06/30/2010,
20016,DC,3.36,26047.0,8-9-2010,
20003,DC,3.36,16716.0,09/19/2012,
20011,DC,3.36,17500.0,10-11-2012,
20002,DC,3.36,13608.0,10-11-2012,
20017,DC,3.36,16716.0,10-11-2012,
20009,DC,3.36,26660.0,05/24/2010,
20003,DC,3.36,22387.0,06/30/2010,
20016,DC,3.36,,8-9-2010,
20016,DC,3.375,37250.0,09/30/2009,
20002,DC,3.375,28856.0,10-12-2010,
20002,DC,3.375,21094.0,07/21/2011,
20016,DC,3.375,37250.0,09/30/2009,
20002,DC,3.375,,10-12-2010,
20002,DC,3.375,50368.0,07/19/2011,
20010,DC,3.42,27990.0,09/30/2009,
20010,DC,3.42,20370.0,09/30/2009,
20010,DC,3.42,27440.0,09/30/2009,
20012,DC,3.42,25060.0,09/30/2009,
20001,DC,3.42,28420.0,09/30/2009,
20010,DC,3.42,27700.0,11/24/2009,
20010,DC,3.42,27990.0,09/30/2009,
20010,DC,3.42,,09/30/2009,
20010,DC,3.42,27440.0,09/30/2009,
20012,DC,3.42,25060.0,09/30/2009,
20001,DC,3.42,,09/30/2009,
20010,DC,3.42,27700.0,11/24/2009,
20007,DC,3.45,20786.0,01/21/2012,
20001,DC,3.45,14973.0,02/21/2012,
20011,DC,3.45,18056.0,02/29/2012,
20011,DC,3.45,15697.0,4-11-2012,
20002,DC,3.45,16905.0,08/27/2012,
20009,DC,3.45,16077.0,10-1-2012,
20009,DC,3.45,27174.0,08/31/2010,
20003,DC,3.45,21688.0,10-11-2010,
20002,DC,3.45,20899.0,10-11-2010,
20003,DC,3.45,20942.0,1-10-2011,
20007,DC,3.45,20888.0,06/15/2011,
20002,DC,3.45,20646.0,10-8-2011,
20007,DC,3.45,20786.0,01/21/2012,
20001,DC,3.45,14973.0,02/21/2012,
20011,DC,3.45,18056.0,02/29/2012,
20011,DC,3.45,15697.0,4-11-2012,
20002,DC,3.45,16905.0,08/27/2012,
20009,DC,3.45,16077.0,10-1-2012,
20009,DC,3.45,,08/31/2010,
20003,DC,3.45,,10-11-2010,
20002,DC,3.45,,10-11-2010,
20003,DC,3.45,,1-10-2011,
20003,DC,3.45,23000.0,02/13/2012,
20010,DC,3.45,22685.0,02/13/2012,
20010,DC,3.45,,7-2-2011,
20015,DC,3.45,56044.0,7-2-2011,
20020,DC,3.45,25945.0,7-2-2011,
20010,DC,3.485,26138.0,11/18/2009,
20010,DC,3.485,,11/18/2009,
