ZIP,State,Annual Average (kWh/m2/day)
3031,NH,3;88
3032,NH,3;99
3033,NH,3;95
3034,NH,4;04
3036,NH,4;00
3037,NH,4;06
3038,NH,3;97
3042,NH,4;03
3043,NH,3;94
3044,NH,4;03
3045,NH,3;96
3046,NH,3;97
3047,NH,3;94
3048,NH,3;97
3049,NH,3;87
3051,NH,3;87
3052,NH,3;88
3053,NH,3;89
3054,NH,3;87
3055,NH,3;93
3057,NH,3;94
3060,NH,3;86
3062,NH,3;83
3063,NH,3;85
3064,NH,3;86
3070,NH,3;96
3071,NH,3;92
3076,NH,3;85
3077,NH,4;05
3079,NH,3;96
3082,NH,3;98
3084,NH,3;95
3086,NH,4;00
3087,NH,3;93
3101,NH,3;94
3102,NH,3;96
3103,NH,3;89
3104,NH,3;94
3106,NH,4;01
3109,NH,3;94
3110,NH,3;91
3215,NH,3;89
3216,NH,3;92
3217,NH,3;84
3218,NH,4;07
3220,NH,3;95
3221,NH,3;86
3222,NH,3;88
3223,NH,3;81
3224,NH,3;98
3225,NH,4;09
3226,NH,3;82
3227,NH,3;87
3229,NH,3;94
3230,NH,3;86
3233,NH,3;79
3234,NH,4;06
3235,NH,3;95
3237,NH,4;02
3240,NH,3;85
3241,NH,3;82
3242,NH,3;92
3243,NH,3;93
3244,NH,3;90
3245,NH,3;83
3246,NH,3;88
3249,NH,3;91
3251,NH,3;75
3253,NH,3;89
3254,NH,3;82
3255,NH,3;84
3256,NH,3;87
3257,NH,3;85
3258,NH,4;05
3259,NH,3;91
3260,NH,3;88
3261,NH,4;05
3262,NH,3;72
3263,NH,4;08
3264,NH,3;81
3266,NH,3;78
3268,NH,3;96
3269,NH,3;92
3275,NH,4;01
3276,NH,3;97
3278,NH,3;94
3279,NH,3;69
3280,NH,3;82
3281,NH,3;93
3282,NH,3;69
3284,NH,3;80
3285,NH,3;81
3287,NH,3;89
3290,NH,4;04
3291,NH,4;05
3301,NH,3;96
3303,NH,3;96
3304,NH,3;97
3305,NH,3;92
3307,NH,4;00
3431,NH,3;68
3435,NH,3;65
3440,NH,3;89
3441,NH,3;64
3442,NH,3;91
3443,NH,3;64
3444,NH,3;85
3445,NH,3;72
3446,NH,3;68
3447,NH,3;77
3448,NH,3;69
3449,NH,3;89
3450,NH,3;80
3451,NH,3;67
3452,NH,3;84
3455,NH,3;72
3456,NH,3;77
3457,NH,3;82
3458,NH,3;92
3461,NH,3;82
3462,NH,3;66
3464,NH,3;85
3465,NH,3;75
3466,NH,3;64
3467,NH,3;60
3470,NH,3;70
3561,NH,3;61
3570,NH,3;63
3574,NH,3;61
3575,NH,3;66
3576,NH,3;50
3579,ME,3;53
3580,NH,3;61
3581,NH,3;60
3582,NH,3;57
3583,NH,3;53
3584,NH,3;52
3585,NH,3;62
3586,NH,3;63
3588,NH,3;62
3589,NH,3;65
3590,NH,3;55
3592,NH,3;34
3593,NH,3;47
3595,NH,3;54
3597,NH,3;56
3598,NH,3;54
3601,NH,3;69
3602,NH,3;65
3603,NH,3;66
3604,NH,3;59
3605,NH,3;79
3607,NH,3;69
3608,NH,3;58
3609,NH,3;60
3740,NH,3;63
3741,NH,3;79
3743,NH,3;68
3745,NH,3;73
3748,NH,3;74
3750,NH,3;65
3751,NH,3;77
3752,NH,3;77
3753,NH,3;80
3754,NH,3;74
3755,NH,3;68
3765,NH,3;56
3766,NH,3;68
3768,NH,3;68
3770,NH,3;69
3771,NH,3;62
3773,NH,3;76
3774,NH,3;62
3777,NH,3;60
3779,NH,3;62
3780,NH,3;64
3781,NH,3;71
3782,NH,3;77
3784,NH,3;66
3785,NH,3;66
3801,NH,4;02
