INCITS,Zipcode,Radiation
36047,93266,4;54
36041,76565,4;54
36043,13491,4;55
8105,81154,3;96
8107,81639,3;99
8103,81648,3;96
8109,81248,3;96
49029,84050,3;58
46039,69129,3;73
46037,57468,3;86
46035,57363,3;79
46033,83278,3;85
46031,57660,3;79
48371,79781,3;56
48377,79845,3;58
48375,79124,3;64
29223,84775,4;59
29225,71075,4;54
48081,76945,3;56
48083,79538,3;59
48085,75454,3;59
48089,78962,3;60
26155,48872,3;58
26151,48472,3;68
26159,72629,3;60
42021,16668,4;25
42023,78597,4;26
42025,84542,4;20
42027,16882,4;21
42029,38352,4;21
48127,78836,3;61
48125,79370,3;62
55009,76890,3;95
55003,54855,3;98
55001,99371,3;99
55007,54891,4;05
55005,54889,4;10
51630,22401,4;48
27127,56293,4;54
37091,27986,4;14
37097,28689,4;24
39145,45694,4;42
39149,75975,4;42
48453,78759,3;54
48451,76958,3;62
48457,77664,3;63
48455,96093,3;57
1009,37886,3;67
1007,36793,3;65
1005,36048,3;73
1003,36580,3;54
1001,36749,3;68
51033,22580,4;28
51031,82732,4;41
51036,23030,4;42
51037,33983,4;34
51035,72660,4;39
50023,97229,4;23
50021,5777,4;23
50027,5772,4;21
50025,6387,4;37
28115,74871,4;62
28117,38859,4;59
28119,38964,4;58
18055,72474,3;76
18053,99357,3;69
18059,62380,3;71
18035,74359,3;71
18037,47580,3;69
18031,67749,3;70
18039,46573,3;79
19129,76870,3;97
19121,83460,3;99
19123,52595,3;95
19125,97392,3;95
19127,73446,3;95
48117,79045,3;60
47123,72134,4;08
47125,77386,4;09
47129,84050,4;02
48111,79087,3;61
21061,42285,4;12
13207,72134,3;64
13205,79565,3;64
13209,77386,3;66
20009,67567,4;21
37101,74856,4;20
48203,75692,3;60
2122,99672,3;82
21093,77663,4;04
5091,71854,3;74
16049,83554,3;42
19095,53595,3;98
16045,83670,3;42
16041,99343,3;43
42133,68467,4;09
42131,25928,4;09
32011,89821,4;60
48059,79510,3;47
29127,97392,4;66
29125,65582,4;64
29123,83460,4;56
29129,64673,4;59
22031,71078,4;34
22033,70836,4;40
22035,71286,4;38
22039,71367,4;33
37189,28698,4;10
37187,97229,4;15
37185,63390,4;21
37183,27697,4;12
37181,27556,4;17
47001,75861,4;02
47003,37360,3;86
39039,43556,4;47
12051,33935,3;79
12053,34661,3;85
12057,76692,3;68
12059,44661,3;90
28091,97392,4;56
28097,77386,4;61
53069,98647,3;74
31029,69045,4;56
31023,68669,4;66
31021,68061,4;66
31027,68792,4;67
31025,75656,4;62
6089,96096,3;83
6085,95148,3;80
6081,94404,3;70
13165,30442,3;73
8079,89427,4;12
30035,59434,4;46
8071,81091,4;09
8073,99185,3;90
8075,80751,3;94
8077,81646,3;95
16061,98596,3;46
48243,79854,3;59
13111,75492,3;58
13117,30041,3;77
27043,56098,4;46
27041,98858,4;45
27047,56089,4;48
27045,68444,4;50
35019,88435,4;27
48229,79851,3;59
37069,99343,4;13
37067,30041,4;13
37061,28521,4;18
36075,13493,4;54
