Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=VT
5346,VT,2.35,12112.0,01/19/2012,
5146,VT,2.38,23044,4-11-2008,
5757,VT,2.38,17411.42,1-5-2011,
5682,VT,2.4,25038,07/26/2007,
5602,VT,2.4,17631.87,7-2-2004,
5661,VT,2.4,19180.8,11/19/2009,
5061,VT,2.4,30765,09/13/2007,
5495,VT,2.4,23950,05/14/2009,
5836,VT,2.4,24109.14,11-8-2007,
5651,VT,2.4,22982,11/17/2005,
5773,VT,2.4,14892,1-10-2009,
5494,VT,2.4,34359,07/26/2007,
5446,VT,2.4,14880.0,07/29/2010,
5001,VT,2.4,15346.0,06/21/2010,
5065,VT,2.4,18652.0,04/30/2010,
5055,VT,2.4,20725.89,3-12-2010,
5401,VT,2.4,11205.0,1-7-2010,
5648,VT,2.4,8660.0,11/28/2011,
5075,VT,2.4,15238.14,11-9-2011,
5655,VT,2.4,12982.5,11-7-2012,
5443,VT,2.45,12250.0,04/24/2012,
5773,VT,2.45,10796.0,07/18/2012,
5602,VT,2.45,15680.0,09/27/2012,
5676,VT,2.46,14514.0,07/18/2011,
5344,VT,2.5,15250,08/28/2009,
5494,VT,2.5,18840,10-7-2009,
5602,VT,2.5,21323.0,12-2-2011,
5730,VT,2.5,12800.0,04/17/2012,
5873,VT,2.5,14000.0,09/14/2012,
5345,VT,2.52,20390,8-4-2008,
5346,VT,2.52,22925,05/16/2007,
5048,VT,2.52,23340,02/20/2008,
5677,VT,2.52,13265.93,10-11-2010,
5401,VT,2.52,18200.0,4-7-2010,
5677,VT,2.52,15994.81,12/18/2009,
5846,VT,2.52,16000.0,5-5-2011,
5001,VT,2.52,18097.0,5-11-2012,
5201,VT,2.53,35449.5,09/23/2005,
5829,VT,2.53,16445.0,01/26/2011,
5346,VT,2.55,32699.54,8-8-2008,
5773,VT,2.55,10116.0,06/25/2012,
5359,VT,2.58,16871.0,11/19/2010,
5345,VT,2.58,17228.0,08/31/2010,
5143,VT,2.58,23560.0,6-3-2011,
