Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=UT
84117,UT,5.2,20000.0,06/27/2013,
84092,UT,5.25,26250.0,05/31/2013,
84414,UT,5.25,28058.0,10-7-2013,
84075,UT,5.25,28058.0,07/29/2013,
84057,UT,5.25,27412.0,10/30/2013,
84029,UT,5.31,28688.0,04/19/2013,
84106,UT,5.375,33559.0,12/21/2009,
84095,UT,5.399.379,21145.37,7-7-2011,
84108,UT,5.4,37010.0,09/28/2010,
84040,UT,5.4,38200.29,11/23/2009,
84067,UT,5.4,16000.0,10/30/2013,
84020,UT,5.46,27500.0,02/20/2014,
84601,UT,5.5,29370.0,8-5-2013,
84105,UT,5.5,31995.0,07/29/2013,
84604,UT,5.5,30370.0,11/27/2013,
84006,UT,5.5,29370.0,12-6-2013,
84098,UT,5.5,38044.0,10/17/2010,
84414,UT,5.56,8183.0,02/13/2014,
84770,UT,5.61,45004.19,3-12-2008,
84025,UT,5.64,39093.18,8-1-2010,
84738,UT,5.72,20000.0,05/30/2013,
84037,UT,5.75,30683.0,11-4-2013,
84092,UT,5.75,30683.0,10/31/2013,
84041,UT,6.0,31995.0,10/23/2013,
84087,UT,6.0,31995.0,11/27/2013,
84105,UT,6.0,45999.0,10/30/2013,
84720,UT,6.0,29768.11,08/15/2013,
84532,UT,6.0,17022.0,07/26/2013,
84003,UT,6.0,24000.0,07/26/2013,
84405,UT,6.0,23100.0,2-3-2014,
84074,UT,6.0,11973.1,07/24/2013,
84095,UT,6.0,16529.5,01/30/2014,
84074,UT,6.12,32651.0,03/13/2013,
84741,UT,6.12,63076.4,12-12-2008,
84317,UT,6.12,56494.43,01/28/2014,
84737,UT,6.24,33255.0,04/25/2013,
84015,UT,6.25,33308.0,07/29/2013,
84109,UT,6.35,34000.0,12/20/2011,
84041,UT,6.375,32512.5,07/31/2013,
84770,UT,6.375,33964.0,05/20/2013,
84095,UT,6.375,26100.0,02/20/2014,
84124,UT,6.45,35475.0,11-1-2010,
84737,UT,6.45,38310.0,07/28/2010,
