Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=10&minsize=7&state=CA
93602,CA,7.0,43495.0,02/28/2008,
93314,CA,7.0,49522.96,02/29/2008,
91030,CA,7.0,28949.0,12-11-2013,
95138,CA,7.0,73500.0,3-11-2008,
91107,CA,7.0,58707.02,02/15/2008,
91710,CA,7.0,30100.0,1-6-2014,
91710,CA,7.0,29879.15,9-11-2013,
93242,CA,7.0,54531.0,4-11-2008,
91711,CA,7.0,40872.0,10/26/2011,
91723,CA,7.0,34191.0,08/16/2013,
91724,CA,7.0,0.0,09/30/2010,
91724,CA,7.0,44684.89,09/24/2010,
91724,CA,7.0,21443.0,08/19/2013,
94550,CA,7.0,39840.0,6-3-2008,
91301,CA,7.0,33530.0,11/20/2013,
91301,CA,7.0,52369.95,12/18/2007,
91301,CA,7.0,32303.0,01/23/2013,
91301,CA,7.0,46794.1,2-12-2010,
91301,CA,7.0,49000.0,6-7-2013,
93720,CA,7.0,77490.0,7-3-2008,
91302,CA,7.0,42204.8,5-10-2010,
91302,CA,7.0,43750.0,8-7-2013,
93245,CA,7.0,55723.0,07/23/2008,
92065,CA,7.0,57544.0,07/31/2008,
91739,CA,7.0,34300.0,02/18/2014,
91739,CA,7.0,37660.89,05/22/2013,
94941,CA,7.0,53292.0,8-11-2008,
93631,CA,7.0,49782.0,08/13/2008,
91739,CA,7.0,33950.0,11-10-2013,
91739,CA,7.0,52500.0,11-11-2011,
94551,CA,7.0,52328.0,08/18/2008,
91740,CA,7.0,41300.0,12/26/2013,
91740,CA,7.0,34300.0,01/13/2014,
91740,CA,7.0,45000.0,11-5-2013,
91741,CA,7.0,34300.0,11/19/2013,
91744,CA,7.0,34300.0,01/13/2014,
94508,CA,7.0,53644.0,9-4-2008,
94507,CA,7.0,42480.0,9-5-2008,
95589,CA,7.0,47262.0,9-10-2008,
94506,CA,7.0,56527.0,9-12-2008,
90503,CA,7.0,24089.44,11/13/2013,
90601,CA,7.0,29960.0,06/19/2013,
93465,CA,7.0,57745.73,09/22/2008,
92867,CA,7.0,51717.0,10-7-2008,
90620,CA,7.0,19000.0,09/29/2013,
90620,CA,7.0,25270.0,6-7-2013,
90621,CA,7.0,35325.0,6-4-2013,
90621,CA,7.0,40175.0,5-8-2013,
93631,CA,7.0,47150.0,4-7-2008,
93657,CA,7.0,52630.62,12/18/2009,
94062,CA,7.0,75810.0,10/28/2008,
95132,CA,7.0,53690.0,11/17/2008,
94022,CA,7.0,58405.0,11/19/2008,
94952,CA,7.0,25137.0,03/28/2013,
93308,CA,7.0,41201.0,12-5-2008,
95148,CA,7.0,48995.0,12/22/2008,
92014,CA,7.0,97033.0,2-8-2007,
94517,CA,7.0,55310.0,02/27/2007,
94010,CA,7.0,58592.29,03/20/2007,
93030,CA,7.0,54325.0,03/29/2007,
94025,CA,7.0,54174.0,5-9-2007,
95762,CA,7.0,59332.0,05/15/2007,
94561,CA,7.0,55310.0,05/24/2007,
93205,CA,7.0,55373.01,05/25/2007,
93637,CA,7.0,56062.0,6-5-2007,
90240,CA,7.0,35238.0,11-11-2011,
90241,CA,7.0,34300.0,02/13/2014,
94523,CA,7.0,55297.0,06/21/2007,
95336,CA,7.0,49151.0,7-12-2007,
95688,CA,7.0,62587.0,07/13/2007,
91390,CA,7.0,55325.0,07/13/2007,
90265,CA,7.0,32200.0,10/29/2013,
94507,CA,7.0,57616.99,07/23/2007,
94010,CA,7.0,64736.2,07/27/2007,
90266,CA,7.0,30300.0,01/23/2013,
95973,CA,7.0,51362.0,8-6-2007,
93286,CA,7.0,56284.9,8-6-2007,
95658,CA,7.0,41417.6,05/18/2010,
92373,CA,7.0,63000.0,05/27/2010,
91390,CA,7.0,42210.0,6-1-2010,
95688,CA,7.0,52294.0,03/24/2006,
93637,CA,7.0,49894.0,5-8-2006,
91724,CA,7.0,63000.0,6-4-2010,
92024,CA,7.0,39329.58,6-10-2010,
93611,CA,7.0,41710.0,6-11-2010,
92860,CA,7.0,63000.0,06/16/2010,
94597,CA,7.0,63000.0,06/24/2010,
93311,CA,7.0,39453.27,06/25/2010,
94553,CA,7.0,63000.0,7-9-2010,
93727,CA,7.0,40745.81,07/13/2010,
93611,CA,7.0,46341.27,07/20/2010,
91748,CA,7.0,39550.0,07/29/2010,
95110,CA,7.0,37776.99,8-9-2010,
93720,CA,7.0,63000.0,8-12-2010,
92880,CA,7.0,63000.0,8-12-2010,
93312,CA,7.0,41593.0,08/19/2010,
94521,CA,7.0,35917.05,08/26/2010,
95409,CA,7.0,43878.0,08/26/2010,
95070,CA,7.0,63000.0,08/30/2010,
94027,CA,7.0,63000.0,9-1-2010,
93722,CA,7.0,63000.0,9-10-2010,
95118,CA,7.0,53900.0,09/20/2010,
93710,CA,7.0,37356.0,09/23/2010,
93654,CA,7.0,37521.0,09/27/2010,
92009,CA,7.0,53900.0,10/25/2010,
92373,CA,7.0,37482.0,11-5-2010,
93030,CA,7.0,38500.0,11/30/2009,
92867,CA,7.0,63000.0,11-9-2010,
