Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
91387,CA,5.0,23750.0,2/7/2014,34.40,-118.40,6;73,Los Angeles,6037
95683,CA,5.0,0.0,03/20/2013,38.51,-121.12,5;74,Sacramento,6067
95655,CA,5.0,0.0,3/6/2013,38.54,-121.28,5;69,Sacramento,6067
95630,CA,5.0,21889.12,6/3/2013,38.67,-121.14,5;77,Sacramento,6067
91390,CA,5.0,24500.0,01/31/2014,34.53,-118.40,7;03,Los Angeles,6037
91390,CA,5.0,26526.54,06/20/2013,34.53,-118.40,7;03,Los Angeles,6037
95828,CA,5.0,5727.0,08/15/2013,38.48,-121.40,5;71,Sacramento,6067
95626,CA,5.0,0.0,4/10/2013,38.73,-121.46,5;70,Sacramento,6067
95828,CA,5.0,21897.14,06/24/2013,38.48,-121.40,5;71,Sacramento,6067
95827,CA,5.0,21899.52,06/19/2013,38.55,-121.32,5;66,Sacramento,6067
95827,CA,5.0,21228.05,06/24/2013,38.55,-121.32,5;66,Sacramento,6067
91709,CA,5.0,24500.0,01/31/2014,33.94,-117.72,5;77,San Bernardino,6071
95757,CA,5.0,23621.94,06/19/2013,38.35,-121.42,5;72,0,0
95757,CA,5.0,21347.0,7/5/2013,0,0,0,0,0
95823,CA,5.0,21126.9,07/25/2013,38.35,-121.42,5;72,Sacramento,6067
95828,CA,5.0,21858.12,07/16/2013,0,0,0,Sacramento,6067
91709,CA,5.0,34000.0,02/17/2014,38.47,-121.44,5;72,San Bernardino,6071
91709,CA,5.0,26000.0,01/23/2014,38.48,-121.40,5;71,San Bernardino,6071
95670,CA,5.0,0.0,11/19/2013,33.94,-117.72,5;77,Sacramento,6067
95757,CA,5.0,21313.87,08/21/2013,33.94,-117.72,5;77,0,0
95662,CA,5.0,21135.63,09/19/2013,38.60,-121.26,5;68,Sacramento,6067
91709,CA,5.0,24500.0,1/10/2014,38.35,-121.42,5;72,San Bernardino,6071
95758,CA,5.0,24500.0,09/24/2013,0,0,0,Sacramento,6067
95838,CA,5.0,22287.84,09/19/2013,38.68,-121.22,5;75,Sacramento,6067
95758,CA,5.0,22086.31,09/24/2013,33.94,-117.72,5;77,Sacramento,6067
95662,CA,5.0,22451.01,11/7/2013,38.34,-121.42,5;73,Sacramento,6067
95621,CA,5.0,21677.29,09/26/2013,38.64,-121.44,5;73,Sacramento,6067
95822,CA,5.0,18000.0,08/30/2013,38.34,-121.42,5;73,Sacramento,6067
95624,CA,5.0,0.0,9/9/2013,38.68,-121.22,5;75,Sacramento,6067
95608,CA,5.0,21335.0,08/30/2013,38.69,-121.31,5;69,Sacramento,6067
95758,CA,5.0,22635.84,09/18/2013,38.51,-121.49,5;70,Sacramento,6067
95693,CA,5.0,0.0,08/29/2013,38.44,-121.30,5;72,Sacramento,6067
95829,CA,5.0,0.0,08/29/2013,38.62,-121.32,5;66,Sacramento,6067
95829,CA,5.0,17000.0,09/17/2013,38.34,-121.42,5;73,Sacramento,6067
95630,CA,5.0,20572.26,10/3/2013,38.39,-121.24,5;73,Sacramento,6067
95624,CA,5.0,0.0,09/26/2013,38.48,-121.34,5;71,Sacramento,6067
95630,CA,5.0,0.0,09/30/2013,38.48,-121.34,5;71,Sacramento,6067
95757,CA,5.0,21495.0,10/8/2013,38.67,-121.14,5;77,0,0
95834,CA,5.0,29200.0,11/6/2013,38.44,-121.30,5;72,Sacramento,6067
95843,CA,5.0,0.0,10/3/2013,38.67,-121.14,5;77,Sacramento,6067
95628,CA,5.0,21000.0,10/3/2013,38.35,-121.42,5;72,Sacramento,6067
95630,CA,5.0,0.0,10/10/2013,0,0,0,Sacramento,6067
95843,CA,5.0,0.0,10/10/2013,38.64,-121.54,5;70,Sacramento,6067
95829,CA,5.0,0.0,10/21/2013,38.71,-121.36,5;70,Sacramento,6067
95630,CA,5.0,0.0,10/21/2013,38.65,-121.25,5;69,Sacramento,6067
95610,CA,5.0,0.0,10/21/2013,38.67,-121.14,5;77,Sacramento,6067
95621,CA,5.0,0.0,10/21/2013,38.71,-121.36,5;70,Sacramento,6067
95670,CA,5.0,0.0,10/25/2013,38.48,-121.34,5;71,Sacramento,6067
95826,CA,5.0,0.0,10/25/2013,38.67,-121.14,5;77,Sacramento,6067
95742,CA,5.0,0.0,10/31/2013,38.69,-121.26,5;74,Sacramento,6067
95831,CA,5.0,0.0,11/5/2013,38.69,-121.31,5;69,Sacramento,6067
95758,CA,5.0,0.0,11/14/2013,38.60,-121.26,5;68,Sacramento,6067
95670,CA,5.0,25933.0,11/18/2013,38.54,-121.38,5;71,Sacramento,6067
95632,CA,5.0,0.0,11/21/2013,38.57,-121.17,5;75,Sacramento,6067
95662,CA,5.0,0.0,11/20/2013,38.49,-121.53,5;68,Sacramento,6067
95843,CA,5.0,0.0,11/26/2013,38.34,-121.42,5;73,Sacramento,6067
95670,CA,5.0,5220.0,12/10/2013,38.60,-121.26,5;68,Sacramento,6067
95815,CA,5.0,0.0,11/26/2013,38.27,-121.22,5;73,Sacramento,6067
95673,CA,5.0,0.0,12/10/2013,38.68,-121.22,5;75,Sacramento,6067
95610,CA,5.0,0.0,12/18/2013,38.71,-121.36,5;70,Sacramento,6067
95821,CA,5.0,18250.0,1/3/2014,38.60,-121.26,5;68,Sacramento,6067
95831,CA,5.0,24500.0,01/21/2014,38.60,-121.46,5;71,Sacramento,6067
90630,CA,5.0,24500.0,01/13/2014,38.68,-121.45,5;68,Orange,51137
94960,CA,5.0,33300.24,08/17/2009,38.69,-121.26,5;74,Marin,6041
90631,CA,5.0,30450.0,10/21/2013,38.62,-121.38,5;66,Orange,51137
90638,CA,5.0,24500.0,1/6/2014,38.49,-121.53,5;68,Los Angeles,6037
90640,CA,5.0,25970.0,03/13/2013,33.81,-118.03,5;31,Los Angeles,6037
90640,CA,5.0,10489.86,10/15/2012,37.99,-122.58,5;44,Los Angeles,6037
90640,CA,5.0,29500.0,01/16/2014,33.94,-117.95,5;57,Los Angeles,6037
90640,CA,5.0,33450.64,1/11/2013,33.90,-118.00,5;51,Los Angeles,6037
90650,CA,5.0,23802.0,9/5/2013,34.00,-118.10,5;67,Los Angeles,6037
90680,CA,5.0,16969.84,10/23/2013,34.00,-118.10,5;67,Orange,51137
90703,CA,5.0,25569.25,10/9/2013,34.00,-118.10,5;67,Los Angeles,6037
90710,CA,5.0,16969.84,12/4/2013,34.00,-118.10,5;67,Los Angeles,6037
90713,CA,5.0,24500.0,01/24/2014,33.90,-118.07,5;47,Los Angeles,6037
90717,CA,5.0,20287.53,11/11/2013,33.79,-117.99,5;41,Los Angeles,6037
90717,CA,5.0,24500.0,01/13/2014,33.86,-118.05,5;43,Los Angeles,6037
90720,CA,5.0,25750.0,12/7/2012,33.79,-118.29,5;24,Orange,51137
90720,CA,5.0,24500.0,01/17/2014,33.85,-118.11,5;43,Orange,51137
90740,CA,5.0,24747.0,7/3/2013,33.79,-118.31,5;27,Orange,51137
90745,CA,5.0,23307.0,01/24/2013,33.79,-118.31,5;27,Los Angeles,6037
90746,CA,5.0,21250.0,11/8/2013,33.79,-118.06,5;31,Los Angeles,6037
90806,CA,5.0,24500.0,01/24/2014,33.79,-118.06,5;31,Los Angeles,6037
90808,CA,5.0,24174.0,03/14/2013,33.75,-118.07,5;15,Los Angeles,6037
90815,CA,5.0,24570.0,7/3/2013,33.82,-118.26,5;21,Los Angeles,6037
91001,CA,5.0,24500.0,01/29/2014,33.86,-118.25,5;43,Los Angeles,6037
91006,CA,5.0,22500.0,2/4/2014,33.81,-118.18,5;24,Los Angeles,6037
95376,CA,5.0,47040.0,1/8/2008,33.82,-118.11,5;43,San Joaquin,6077
91008,CA,5.0,28900.0,12/30/2013,33.79,-118.12,5;29,0,0
91011,CA,5.0,24500.0,02/14/2014,34.20,-118.13,6;39,Los Angeles,6037
91016,CA,5.0,19470.22,10/28/2013,34.13,-118.02,6;26,Los Angeles,6037
91030,CA,5.0,21750.0,11/21/2013,37.73,-121.42,5;91,Los Angeles,6037
91710,CA,5.0,30000.0,10/9/2013,34.14,-117.96,5;96,San Bernardino,6071
91710,CA,5.0,24500.0,01/15/2014,0,0,0,San Bernardino,6071
91723,CA,5.0,21000.0,12/30/2013,34.23,-118.14,6;19,Los Angeles,6037
91724,CA,5.0,30000.0,01/15/2014,34.15,-117.99,6;50,Los Angeles,6037
91724,CA,5.0,34800.0,01/28/2014,34.11,-118.15,5;81,Los Angeles,6037
91108,CA,5.0,34450.0,05/28/2013,33.98,-117.65,5;89,Los Angeles,6037
91301,CA,5.0,16969.84,11/4/2013,33.98,-117.65,5;89,Los Angeles,6037
95442,CA,5.0,76500.0,06/23/2008,34.08,-117.88,5;70,Sonoma,6097
91302,CA,5.0,35900.0,9/3/2013,34.07,-117.84,5;89,Los Angeles,6037
91302,CA,5.0,65472.0,07/27/2012,34.07,-117.84,5;89,Los Angeles,6037
93402,CA,5.0,38800.0,7/8/2008,34.12,-118.11,5;90,San Luis Obispo,6079
91320,CA,5.0,28600.0,1/7/2013,34.12,-118.76,6;22,Ventura,6111
91320,CA,5.0,24500.0,01/29/2014,38.38,-122.52,5;60,Ventura,6111
91737,CA,5.0,24800.0,9/6/2013,34.11,-118.67,6;19,San Bernardino,6071
91739,CA,5.0,22000.0,05/23/2013,34.11,-118.67,6;19,San Bernardino,6071
94506,CA,5.0,54150.0,08/13/2008,35.29,-120.81,5;75,Contra Costa,6013
91739,CA,5.0,21917.84,10/12/2013,34.17,-118.95,6;17,San Bernardino,6071
91739,CA,5.0,27501.0,1/3/2014,34.17,-118.95,6;17,San Bernardino,6071
91739,CA,5.0,21300.0,2/11/2014,34.19,-117.61,6;82,San Bernardino,6071
91741,CA,5.0,24010.0,01/17/2014,34.14,-117.51,6;59,Los Angeles,6037
91741,CA,5.0,16800.0,01/30/2014,37.78,-121.88,5;64,Los Angeles,6037
91744,CA,5.0,24203.0,01/29/2014,34.14,-117.51,6;59,Los Angeles,6037
91744,CA,5.0,24500.0,01/13/2014,34.14,-117.51,6;59,Los Angeles,6037
90405,CA,5.0,20714.0,2/7/2014,34.14,-117.51,6;59,Los Angeles,6037
90503,CA,5.0,17341.2,06/19/2013,34.14,-117.85,6;59,Los Angeles,6037
90503,CA,5.0,24500.0,2/7/2014,34.14,-117.85,6;59,Los Angeles,6037
90504,CA,5.0,24500.0,02/24/2014,34.02,-117.93,5;70,Los Angeles,6037
90504,CA,5.0,31700.0,01/16/2014,34.02,-117.93,5;70,Los Angeles,6037
90504,CA,5.0,0.0,12/14/2013,34.01,-118.46,5;29,Los Angeles,6037
90601,CA,5.0,28500.0,12/12/2013,33.84,-118.35,5;24,Los Angeles,6037
90601,CA,5.0,30173.35,05/21/2013,33.84,-118.35,5;24,Los Angeles,6037
90602,CA,5.0,24500.0,2/10/2014,33.86,-118.33,5;24,Los Angeles,6037
90603,CA,5.0,21810.0,01/21/2014,33.86,-118.33,5;24,Los Angeles,6037
90604,CA,5.0,24206.0,02/22/2013,33.86,-118.33,5;24,Los Angeles,6037
90620,CA,5.0,0.0,08/29/2013,34.00,-118.03,5;62,Orange,51137
90620,CA,5.0,20150.0,02/20/2014,34.00,-118.03,5;62,Orange,51137
93420,CA,5.0,41173.0,11/5/2008,33.97,-118.01,5;53,San Luis Obispo,6079
92014,CA,5.0,41850.0,12/9/2008,33.94,-117.99,5;53,San Diego,6073
90211,CA,5.0,29812.0,05/22/2013,33.93,-118.00,5;53,Los Angeles,6037
90230,CA,5.0,30000.0,01/15/2014,33.84,-118.00,5;50,Los Angeles,6037
90241,CA,5.0,24500.0,01/30/2014,33.84,-118.00,5;50,Los Angeles,6037
90241,CA,5.0,0.0,12/14/2013,35.16,-120.43,6;30,Los Angeles,6037
90241,CA,5.0,22250.0,2/11/2014,32.96,-117.25,4;89,Los Angeles,6037
90249,CA,5.0,26896.0,2/11/2014,34.06,-118.38,5;72,Los Angeles,6037
90265,CA,5.0,24754.0,11/28/2012,33.99,-118.39,5;43,Los Angeles,6037
93446,CA,5.0,47133.0,07/19/2007,33.94,-118.13,5;53,San Luis Obispo,6079
90266,CA,5.0,24500.0,01/31/2014,33.94,-118.13,5;53,Los Angeles,6037
91789,CA,5.0,30000.0,09/28/2010,33.94,-118.13,5;53,Los Angeles,6037
93277,CA,5.0,32040.0,01/29/2014,33.89,-118.31,5;41,Tulare,6107
92028,CA,5.0,21400.0,03/29/2013,34.06,-118.81,5;89,San Diego,6073
90630,CA,5.0,16996.84,9/11/2013,35.61,-120.76,6;77,Orange,51137
90630,CA,5.0,24500.0,11/20/2013,33.88,-118.40,5;16,Orange,51137
92064,CA,5.0,26536.0,4/9/2010,34.01,-117.85,5;69,San Diego,6073
91789,CA,5.0,29000.0,04/23/2010,36.29,-119.38,5;94,Los Angeles,6037
91607,CA,5.0,31200.0,09/21/2010,33.39,-117.29,6;01,Los Angeles,6037
90247,CA,5.0,39450.0,10/20/2009,33.81,-118.03,5;31,Los Angeles,6037
91042,CA,5.0,37853.13,06/21/2005,33.81,-118.03,5;31,Los Angeles,6037
91352,CA,5.0,23029.0,11/7/2011,32.97,-117.02,6;20,Los Angeles,6037
90026,CA,5.0,24680.0,10/17/2011,34.01,-117.85,5;69,Los Angeles,6037
91326,CA,5.0,24870.0,04/21/2011,34.16,-118.40,6;04,Los Angeles,6037
90272,CA,5.0,25094.56,1/6/2012,33.89,-118.29,5;42,Los Angeles,6037
91343,CA,5.0,25906.5,11/14/2011,34.29,-118.25,6;99,Los Angeles,6037
91436,CA,5.0,26337.0,5/11/2011,34.23,-118.34,6;25,Los Angeles,6037
90026,CA,5.0,26407.0,04/15/2011,34.07,-118.26,5;72,Los Angeles,6037
90064,CA,5.0,29470.5,07/14/2011,34.28,-118.55,6;41,Los Angeles,6037
90034,CA,5.0,30169.8,5/9/2011,34.07,-118.54,5;87,Los Angeles,6037
91606,CA,5.0,30471.0,03/16/2011,34.23,-118.47,6;23,Los Angeles,6037
